Date,From,To,Flight_Number,Airline,Distance,Duration,Seat,Seat_Type,Class,Reason,Plane,Registration,Trip,Note,From_OID,To_OID,Airline_OID,Plane_OID
2014-03-09 06:44:00,DUB,MAN,FR552,Ryanair (FR/RYR),,00:42:00,,1,1,1,Boeing 737 (B73X),EI-DAI,,,,,,
2014-03-08 08:06:00,MAN,DUB,FR553,Ryanair (FR/RYR),,00:41:00,,1,1,1,Boeing 737 (B73X),EI-DYD,,,,,,
2014-03-07 22:37:00,DME,MAN,EZY1872,Easyjet (U2/EZY),,03:43:00,20F,1,1,1,Airbus A320 (A320),G-EZTM,,,,,,
2014-01-24 19:05:00,IEV,DME,UN2247,Transaero Airlines (UN/TSO),,01:38:00,14A,1,1,0,Boeing 737 (B73X),EI-UNG,,Нет окна,,,,
2014-01-08 07:00:00,LGW,DME,EZY8401,Easyjet (U2/EZY),,03:40:00,7A,0,1,1,Airbus A320 (A320),G-EZTE,,,,,,
2014-01-07 18:25:00,CTA,LGW,EZY8568,Easyjet (U2/EZY),,02:58:00,,0,1,1,Airbus A319 (A319),G-EZFU,,,,,,
2013-12-28 14:50:00,LGW,PMO,EZY5245,Easyjet (U2/EZY),,02:30:00,,1,1,1,Airbus A319 (A319),G-EZFW,,,,,,
2013-12-27 21:55:00,DME,LGW,EZY8404,Easyjet (U2/EZY),,04:05:00,7A,1,1,1,Airbus A320 (A320),G-EZUJ,,,,,,
2013-10-31 12:20:00,ZRH,DME,LX1326,Swiss International Airlines (LX/SWR),,03:14:00,,0,1,1,Airbus A321 (A321),HB-IOH,,,,,,
2013-10-30 20:15:00,CUN,ZRH,WK24,Edelweiss Air (8R/EDW),,15:30:00,,0,1,1,Airbus A330-300 (A333),HB-JHQ,,,,,,
2013-10-30 17:20:00,VRA,CUN,WK24,Edelweiss Air (8R/EDW),,01:15:00,,0,1,1,Airbus A330-300 (A333),HB-JHQ,,,,,,
2013-10-22 09:42:00,ZRH,VRA,WK24,Edelweiss Air (8R/EDW),,11:33:00,,3,1,1,Airbus A330-300 (A333),HB-JHQ,,,,,,
2013-10-21 18:45:00,DME,ZRH,LX1327,Swiss International Airlines (LX/SWR),,03:27:00,,1,1,1,Airbus A321 (A321),HB-IOL,,,,,,
2013-09-29 11:15:00,BUD,VKO,W62489,Wizz Air (W6/WZZ),,02:15:00,,1,1,1,Airbus A320 (A320),HA-LWO,,,,,,
2013-09-27 16:20:00,VKO,BUD,W62490,Wizz Air (W6/WZZ),,02:10:00,,2,1,1,Airbus A320 (A320),HA-LPU,,,,,,
2013-05-04 08:50:00,KHV,SVO,SU1715,Aeroflot (SU/AFL),,08:08:00,27A,1,1,1,Boeing 767 (B767),VP-BAY,,,,,,
2013-05-04 08:10:00,VVO,KHV,XF4612,Vladivostok Air (XF/VLK),,01:00:00,,0,1,1,Airbus A320 (A320),VQ-BHS,,,,,,
2013-05-01 23:35:00,KJA,KHV,XF4641,Vladivostok Air (XF/VLK),,04:11:00,,0,1,1,Tupolev TU-204 (T204),RA-64044,,,,,,
2013-05-01 09:00:00,KHV,VVO,XF4641,Vladivostok Air (XF/VLK),,01:05:00,,0,1,1,Tupolev TU-204 (T204),RA-64044,,,,,,
2013-04-30 23:50:00,SVO,KJA,SU1482,Aeroflot (SU/AFL),,04:10:00,,0,1,1,Airbus A320 (A320),VP-BRZ,,,,,,
2013-04-28 23:50:00,VCE,SVO,SU2423,Aeroflot (SU/AFL),,03:00:00,,0,1,1,Airbus A321 (A321),VQ-BEE,,,,,,
2013-04-26 20:50:00,SVO,VCE,SU2422,Aeroflot (SU/AFL),,03:00:00,8A,1,1,1,Airbus A320 (A320),VP-BID,,,,,,
2013-04-01 06:35:00,FRU,SVO,SU1883,Aeroflot (SU/AFL),,03:15:00,8A,1,1,1,Airbus A321 (A321),VP-BWD,,,,,,
2013-03-29 23:20:00,SVO,FRU,SU1882,Aeroflot (SU/AFL),,05:00:00,21E,3,1,1,Airbus A321 (A321),VP-BUM,,,,,,
2013-03-17 21:35:00,TXL,DME,AB8353,Air Berlin (AB/BER),,02:30:00,18F,1,1,1,Airbus A320 (A320),D-ABNA,,,,,,
2013-03-15 18:40:00,DME,TXL,AB8353,Air Berlin (AB/BER),,02:32:00,23A,1,1,1,Airbus A320 (A320),D-ABDQ,,,,,,
